baslama_tarihi,gunluk_hacim,havuz_kisi,sla_oran,ort_gecikme,iptal,yurtdisi,yurtici,seg_kobi,seg_bireysel,seg_kurumsal,tarih,izinli_sayi,isbasi_sayi,raporlu_sayi,tatil,gun_adi,ay_no,yil,ayin_gunu,hafta,arife_mi,tatil_mi,tatil_oncesi_mi,ay_sonu_mu,kisi_basi_yuk,yuk_grup,esnek_islem,esnek_oran,Esnek,Orta,yonlendirilebilir
2024-01-02,2502,55,0.8301358912869704,-8.190647482014388,133,704,1665,684,454,1364,2024-01-02,1,55,4,0,Tuesday,1,2024,2,1,0,0,0,0,45.49090909090909,Çok Yüksek,1138,0.4548361310951239,246,495,493.5
2024-01-03,1469,54,0.9734513274336284,-30.82641252552757,74,457,938,388,284,797,2024-01-03,3,54,3,0,Wednesday,1,2024,3,1,0,0,0,0,27.203703703703702,Düşük,672,0.45745405037440434,152,303,303.5
2024-01-04,1453,59,0.9779766001376462,-29.696490020646937,69,452,932,413,263,777,2024-01-04,0,59,1,0,Thursday,1,2024,4,1,0,0,0,0,24.6271186440678,Düşük,676,0.465244322092223,137,304,289.0
2024-01-05,2072,53,0.8836872586872587,-21.204633204633204,113,609,1350,306,213,1553,2024-01-05,4,53,3,0,Friday,1,2024,5,1,0,0,0,0,39.09433962264151,Yüksek,519,0.2504826254826255,118,231,233.5
2024-01-06,2444,59,0.8653846153846154,-19.328559738134206,109,737,1598,684,426,1334,2024-01-06,1,59,0,0,Saturday,1,2024,6,1,0,0,0,0,41.42372881355932,Çok Yüksek,1110,0.4541734860883797,237,485,479.5
2024-01-07,767,59,0.9804432855280312,-45.10560625814863,52,230,485,212,131,424,2024-01-07,1,59,0,0,Sunday,1,2024,7,1,0,0,0,0,13.0,Düşük,343,0.4471968709256845,63,156,141.0
2024-01-08,1717,54,0.9440885264997088,-26.712871287128717,84,487,1146,447,304,966,2024-01-08,4,54,2,0,Monday,1,2024,8,2,0,0,0,0,31.796296296296298,Orta,751,0.43739079790331975,174,304,326.0
2024-01-09,2450,57,0.8367346938775511,-9.395510204081631,109,716,1625,649,462,1339,2024-01-09,3,57,0,0,Tuesday,1,2024,9,2,0,0,0,0,42.98245614035088,Çok Yüksek,1111,0.45346938775510204,237,497,485.5
2024-01-10,1568,58,0.9732142857142856,-30.009566326530614,80,489,999,420,272,876,2024-01-10,0,58,2,0,Wednesday,1,2024,10,2,0,0,0,0,27.03448275862069,Düşük,692,0.4413265306122449,166,283,307.5
2024-01-11,1545,56,0.968284789644013,-29.91197411003236,73,468,1004,404,278,863,2024-01-11,2,56,2,0,Thursday,1,2024,11,2,0,0,0,0,27.589285714285715,Düşük,682,0.4414239482200647,144,285,286.5
